income,credit_score,loan_amount,job_experience,assets_value,existing_loan_amount,approval
43984,686,695767,28,4628718,14842,1
32479,582,794595,14,1863551,1548957,1
118331,781,2830149,26,2562679,0,1
60520,546,347764,18,1809128,1129847,0
203659,449,4193371,20,3216428,21877,1
55135,881,576510,12,4398014,162028,1
105978,453,7091348,33,135768,698253,0
65498,657,9258943,9,327005,0,0
37401,592,174880,1,1228306,62088,1
68561,839,361954,3,2951150,334164,1
50002,716,517667,21,3590385,589199,1
128814,690,174050,6,9576513,19607,1
59474,818,6026672,3,1615604,0,0
188358,429,342425,14,121284,1557702,0
101353,833,8901543,4,486714,4057999,0
102529,769,4034627,7,2677597,270617,1
165139,667,1736848,24,6475266,0,1
100226,857,5003637,3,1031796,1429279,1
52970,874,271250,21,2818579,0,1
91276,574,101668,20,275976,196166,1
67577,553,1716888,17,13922387,1024496,1
51767,321,455688,3,21119683,68640,1
52873,891,8732332,28,16840626,0,1
64687,658,6094127,22,1762361,430685,0
116122,527,4345522,26,14435320,87170,1
59991,633,150661,19,274474,402959,1
136048,650,342040,29,64356,769823,1
119774,513,357957,33,211138,0,1
40873,750,163289,29,156905,206012,1
47452,864,1223187,9,554080,79562,1
36362,681,1811395,12,1304923,0,1
68778,612,503355,31,5878676,1090920,1
44198,608,1507938,30,1445497,657747,1
45819,515,2648945,31,14942450,0,1
270480,601,3296833,2,85310,254757,1
77093,641,2517979,34,3844181,1699936,1
77403,507,5003319,16,89160,0,0
43066,741,974230,22,3166177,1053336,1
73280,385,8289721,22,4894574,3874108,0
72197,658,128254,25,852908,681981,1
74525,641,258407,15,3630849,919944,1
279489,870,4222651,20,4481434,0,1
42279,622,5296255,6,394386,81743,0
289484,635,4119432,0,130988,195135,0
62906,722,3655305,24,120044,0,1
66974,712,1342601,0,169456,450035,0
119640,764,8879001,1,4199700,1236816,0
82675,346,266788,0,932653,0,0
37086,466,6799533,6,21920065,4035551,1
71049,664,998703,9,24049236,847442,1
112084,793,6072850,6,4792960,0,1
81419,793,6001786,25,477916,0,0
189595,614,1624599,28,11179450,1231856,1
103353,611,6378364,20,284361,70842,0
107272,856,732828,17,5580740,0,1
49623,589,1850786,22,11017487,50334,1
57861,368,4779303,26,392651,1997390,0
39471,706,5893564,28,9821536,1462613,0
42629,803,1284159,2,8854663,0,1
50482,539,9299692,25,916484,136263,0
44261,756,7257970,22,890216,355702,0
48581,630,1154755,4,639715,0,1
34749,834,8546780,29,354686,514083,0
47777,333,4777045,3,18230723,0,1
45759,346,3178957,35,100665,1460637,0
142090,827,861276,6,1707825,2130432,1
46446,767,8174126,23,5374938,297481,0
67548,399,144030,19,75806,137456,1
477125,544,386191,0,972948,4948668,1
183319,879,4777039,1,4688304,0,1
193090,596,6448275,26,1996283,318053,1
42141,345,6571191,34,1128877,205917,0
31760,775,3445844,15,4720365,305581,1
106007,860,1199235,18,1042855,125014,1
72178,875,969481,16,8616222,0,1
44446,332,3743091,35,304686,76742,0
63270,832,7987780,22,13260316,1924315,1
65317,788,161396,11,3245179,0,1
49665,851,4315989,28,4635251,2498592,0
222932,575,2606063,20,15835122,0,1
227691,752,1712213,22,17432746,4182331,1
34081,403,779943,0,972033,0,0
50612,567,3549148,11,18363539,1966205,1
42666,611,145847,31,294701,79085,1
78255,566,4457292,26,1392248,0,1
47369,714,1767586,14,1493327,4969736,1
37637,898,3960149,20,190478,0,0
53448,880,2673620,24,6730129,190366,1
153867,804,3975492,5,6317125,0,1
88429,581,1799992,20,342463,0,1
55072,783,9199201,11,14532297,291687,1
263965,713,2993426,31,1598799,86913,1
95841,752,462731,12,5243560,249471,1
122937,857,6725121,28,2285272,0,1
44581,778,3145111,31,7795956,76792,1
107342,605,394020,18,4403481,987859,1
118098,876,473869,0,4904605,433931,1
114844,446,1250489,22,1881429,0,1
32957,809,7445830,24,4942225,758101,0
166859,885,3889331,2,14985641,0,1
34610,823,5084736,26,336530,0,0
72992,785,700715,4,8232293,576743,1
36543,390,3247140,11,8605163,0,0
88995,771,9388860,3,6711227,1004483,0
40894,632,8459633,7,3148030,3827732,0
33124,872,2072663,28,11212009,0,1
68802,402,4568355,25,170987,0,0
167806,778,341322,30,16977004,0,1
146391,887,8373607,4,1961364,917902,1
99513,879,9196116,14,14345048,170202,1
167604,727,1874954,3,413661,661055,1
120951,809,9606399,10,1446543,937150,0
39201,522,4192401,28,6250491,1220074,0
59920,367,495249,3,14425455,637447,1
162651,748,8947134,8,894642,0,1
76593,627,344469,8,381564,165060,1
38152,668,130122,12,1648872,0,1
208310,548,2057890,34,315624,304687,0
66865,553,452845,20,2097765,146140,1
100626,893,9600110,18,1340027,0,0
228493,593,7388995,23,66241,1609731,1
32047,655,104700,23,1867521,120025,1
122322,839,5995086,5,7719041,2636362,1
46393,782,7284481,17,149013,1960730,0
65629,823,9434417,32,4363901,702307,0
243064,800,5828472,29,592572,4237449,1
46223,729,3687664,19,351212,1330975,0
35189,845,1212292,24,1114868,524468,1
65755,900,3191783,1,17480216,114584,1
60915,708,6614744,17,2176861,633044,0
64149,894,1449779,17,243395,0,1
38146,507,3714283,31,1464889,0,0
46036,619,5002241,26,364884,169318,0
47614,773,1146473,27,2051658,4809590,1
73962,825,7913287,28,17082204,0,1
43901,667,457892,7,3795145,1127101,1
104759,734,9833253,6,7842761,1946240,0
39206,552,3679855,31,4296707,40512,0
46989,766,3212931,1,1423213,0,0
31494,622,1819901,15,4803618,171895,1
56709,520,223339,0,1323049,529332,0
135946,431,254250,21,2569848,186789,1
235722,649,3061733,0,21268282,1128281,1
76855,636,345227,6,1122293,0,1
67502,849,5159066,2,23908372,547065,1
40032,815,655525,32,2721493,1813541,1
53469,726,4465064,10,3578677,86187,0
105634,682,7842189,4,9849295,164575,1
31913,665,122042,20,193776,0,1
113975,856,367724,21,1897415,3842948,1
62059,619,3863716,7,76644,0,0
259124,590,6561706,3,419238,0,1
46440,746,1426880,13,1704664,78422,1
77289,828,4634496,25,309651,1001884,1
45320,644,209211,19,6934364,1922303,1
50990,504,204977,14,1587276,1701270,0
61055,898,7044731,1,600363,137410,0
34419,642,3375540,15,252882,66115,0
274562,518,256622,15,11946636,0,1
58342,715,678624,27,4144545,324502,1
38069,478,1566946,12,210960,0,0
70984,713,3154573,13,1731928,0,1
116848,701,1359447,3,1496121,116253,1
75470,733,427281,17,3175681,26436,1
49906,889,448759,10,4285617,787823,1
46822,513,1993281,26,4817136,172824,1
46081,793,8864963,11,921397,352521,0
69523,724,4803566,33,258883,4894797,0
87523,729,807430,14,79578,343333,1
74086,836,7589681,29,14586951,1490233,1
93891,633,115132,12,253094,0,1
66980,747,8530549,28,15897495,0,1
35642,579,4372999,30,185072,1889526,0
161467,647,2933919,20,3185672,505045,1
38509,654,286790,28,181425,0,1
68956,560,8019083,32,607036,171986,0
32249,849,456523,30,60591,12708,1
72522,310,6890539,33,4162942,1659807,0
37047,756,2492466,26,5943042,78434,1
118719,651,107328,24,945711,0,1
55802,797,1646651,0,1855387,1051663,1
225714,564,3225349,16,12843084,1174036,1
78223,585,2720364,33,3391776,193641,1
99878,806,2317037,9,1610561,2377466,1
49848,868,7805185,9,194171,2004658,0
61948,621,7969578,24,7681358,2872264,0
39238,742,274097,32,4047016,580338,1
59339,576,1837286,10,8882647,136024,1
139651,784,5614782,35,1377716,0,1
94457,768,1099231,11,3952394,669677,1
91387,802,310778,30,6161280,379674,1
78706,528,7567875,9,4036496,0,0
160219,616,7936920,24,10215869,0,1
43482,741,267802,14,15046256,0,1
119158,662,313411,16,1546414,401635,1
44699,601,2431747,19,1011382,0,1
32644,697,130744,32,6631951,198583,1
71923,708,1117708,19,4387924,0,1
424213,801,9496476,12,2531141,0,1
114491,669,1962575,30,1484446,613388,1
288927,605,8988107,3,2780148,115241,1
194916,438,379415,16,539318,0,1
112692,739,2891582,25,5694140,0,1
99662,707,4428784,8,24735300,757992,1
74890,500,1860505,1,6976515,1409562,0
77406,843,1103054,29,310795,0,1
35076,755,1320501,35,24871969,0,1
44356,501,177860,29,20031780,0,1
55439,592,173680,22,313324,345109,1
67368,789,2428368,32,3219633,577935,1
57143,836,1903646,4,19242704,463101,1
99537,620,1941065,25,3965888,2767425,1
111218,729,3801443,8,133608,20765,1
87229,536,423543,8,1500711,47096,1
328752,897,882772,32,1774809,177254,1
189843,732,3517369,20,1764236,0,1
436853,692,280580,7,267663,21129,1
51055,586,351798,23,12626982,0,1
315343,702,1170337,4,5403314,1163910,1
161801,656,1128378,4,11621322,745330,1
162473,741,811515,28,285518,4147330,0
47701,662,1261866,20,2552864,1296394,1
45154,616,1787092,18,839045,0,1
53303,711,1736384,28,5756406,70099,1
31763,829,759351,24,11083412,168191,1
61465,711,303179,23,74472,0,1
44308,671,4073650,27,4076589,660863,0
357321,823,1135030,16,1584591,599789,1
171347,711,9238592,1,961391,75437,1
114705,725,769596,4,1239509,1943525,1
30367,531,859352,21,198525,0,0
71608,646,1694708,12,1456870,123216,1
39078,397,8443801,20,2694633,0,0
73709,743,1961365,23,7169859,0,1
397040,664,5582419,28,193880,0,1
298272,580,420663,0,130506,0,0
129318,771,1998684,27,17562488,4673929,1
80842,792,1451510,6,911860,0,1
48892,647,375157,19,124233,0,1
87688,840,278541,20,109478,56534,1
34137,783,1057985,6,1233954,104559,1
51530,592,8847720,16,160420,0,0
30509,564,990562,35,907506,92608,1
35396,870,7621762,32,3208694,427515,0
62012,638,6691901,0,1660559,130908,0
270214,807,3193036,10,7425038,320141,1
387213,394,974893,33,1994059,74336,1
48646,485,4315537,25,1807723,4953559,0
118678,875,418059,17,1693275,0,1
38885,767,1138088,19,412162,3867767,1
49136,900,1781631,15,8730962,64688,1
47842,841,1886675,34,8510842,2716439,1
39455,513,1365711,11,252247,0,0
50821,895,3886230,10,1281030,1069976,0
449289,646,3644919,16,9445652,77048,1
157860,389,3496654,17,3436550,60970,1
41601,814,1852553,22,477430,154631,1
53450,694,1159391,18,15872121,407615,1
110537,696,9921469,21,1350672,0,0
73951,595,1343135,16,154155,0,1
170839,826,5486155,28,1512423,272483,1
36927,566,3938111,35,78249,2660615,0
51031,728,3384653,0,75100,1379822,0
170598,843,1956280,31,285791,0,1
72779,515,1338328,22,19710423,0,1
35431,340,1085521,20,482808,160396,0
271904,743,8944620,17,5455115,527367,1
47356,470,877067,0,175735,357767,0
117485,887,959281,18,2755398,0,1
85825,424,2588212,18,439164,746378,0
33010,659,681321,27,3691920,0,1
31146,618,178022,17,240553,4255902,1
30520,646,936605,21,135333,392397,0
464541,714,3893949,34,9525806,0,1
59031,626,5913744,11,148178,4515010,0
38310,812,9949839,0,1840863,90616,0
46910,798,4339810,13,1028651,0,0
117968,778,430716,23,3113405,128193,1
244005,795,6522293,4,1049393,151737,1
227664,846,4184409,13,176119,0,1
156568,787,1496071,34,320271,0,1
57902,896,3113536,28,896390,81665,1
55877,583,6304614,33,12356391,133080,1
33356,530,1905778,27,856830,0,0
31909,529,1100906,2,1105659,0,1
41996,514,3267039,4,4194971,0,0
41850,655,151326,14,4398962,0,1
114574,592,3427725,25,1244806,1634179,0
36989,682,264508,8,946142,74018,1
52846,642,9823206,35,14872501,0,1
93407,840,6758270,9,1237357,0,0
90563,847,4202765,29,240895,0,1
37894,840,3209053,34,4371709,2862911,0
67175,812,3292942,29,9413805,2268102,1
43109,655,8746757,6,876914,92191,0
387835,506,2016843,11,906439,0,1
183334,719,395055,12,14605890,0,1
244483,385,1960462,22,1565350,177449,1
87972,616,3427309,3,20651166,177012,1
71093,373,243203,11,8025277,133664,1
58458,560,1885739,35,675104,158415,1
169049,324,2231164,10,1134546,0,1
36132,644,1300372,17,14234400,194523,1
71722,681,1593111,35,455307,1454210,1
38396,774,479810,18,5240567,4878749,1
66221,697,1112865,14,13225242,4151246,1
169927,716,9230468,27,924611,0,1
139273,676,276890,14,1571234,880018,1
98350,890,1141448,26,310120,175966,1
189592,411,3951780,0,2649259,511719,0
199283,666,3858546,3,20590907,1870684,1
37396,718,2587482,27,2897248,326509,0
103923,660,178486,26,2644228,479062,1
147528,546,3636922,6,5299593,0,1
96762,729,8679055,32,153179,0,0
52961,331,2787094,14,3733755,0,1
31829,535,4661212,23,1130198,0,0
422456,737,1850219,33,1972513,0,1
61920,642,1020455,20,134684,0,1
39092,627,1502322,22,2666179,16294,1
50674,878,1175473,3,1959547,658662,1
48780,811,3378142,9,257552,0,0
360429,661,498174,32,2388216,2035491,1
49827,435,2377841,16,1136676,687111,0
77728,824,9627771,1,5593415,178158,0
77919,591,4945078,4,222769,176173,0
341528,723,1746182,28,885096,621902,1
162573,857,365837,9,446437,125755,1
34597,685,239342,25,230715,1298890,1
97238,725,7653311,16,492052,147629,0
93454,628,5975637,33,201602,0,0
72178,636,442666,8,14839821,38249,1
42882,881,446006,3,481733,607923,1
95550,674,4518424,24,158816,0,1
30709,677,4844621,23,232551,4300401,0
87269,778,4646323,3,1909948,1924979,1
110524,597,4478819,1,486682,0,1
99061,785,8678712,2,731228,0,0
191931,778,3077466,15,1681716,0,1
138045,856,4803740,10,2589532,23050,1
33013,553,6801565,2,251291,1149835,0
32180,604,1076686,32,627845,0,1
56809,900,9407059,5,15865349,2389768,1
42679,495,3501209,28,295564,0,0
66246,739,505930,19,6968116,525348,1
34289,812,1431060,6,244818,1865474,1
58112,502,1253911,15,1757113,0,1
38627,781,573410,9,21356919,170347,1
70339,794,3718970,22,15757139,634952,1
45018,641,3391232,10,4500232,1633072,0
92439,728,543100,1,8282052,158830,1
446207,890,3334000,15,20784251,0,1
55006,558,3940446,15,268075,843330,0
96837,792,1465243,6,2139491,4307895,1
53059,751,1039289,31,571177,0,1
33004,416,1529177,14,1721381,1904545,0
41772,728,8301356,18,252814,0,0
481324,768,6504936,6,487553,0,1
89134,339,2533707,12,3671864,81749,1
45937,859,3710157,12,3631971,174701,1
36831,763,1171190,5,375414,0,1
55768,370,370608,17,3252462,362049,1
59173,674,1518039,23,3921275,511758,1
48061,792,3996144,17,181479,0,0
66299,651,8466365,2,1224738,0,0
47400,816,1912319,4,214766,403292,1
419250,746,3728558,15,9621976,0,1
38930,834,1589742,17,3607219,0,1
257140,463,2570663,14,4814381,153543,1
45362,776,1935381,17,11493584,27480,1
105524,732,401308,6,301498,0,1
113419,635,6566910,21,2035201,660794,1
47009,826,8204617,20,409680,0,0
91859,521,385645,14,14062694,1206478,1
44788,328,2935370,5,199083,168988,0
81034,795,4207258,15,7430597,1113887,1
81232,899,468576,33,3241374,59172,1
34191,843,1161953,7,144988,786968,1
38288,671,2307530,34,3321450,166816,1
67994,823,611225,21,402426,239108,1
287001,610,665881,9,1139848,69679,1
46930,627,403831,3,4730306,2955011,1
69833,674,3473434,31,1395637,0,1
451259,870,271959,17,3636740,185763,1
70889,711,7373578,27,1699867,458542,0
32968,648,4077940,18,7700585,1035735,0
70903,845,5320233,35,75528,62719,0
60799,687,8150418,14,18020041,1625017,1
65845,800,465597,34,4370798,0,1
188897,564,3134141,10,1965567,0,1
53328,837,7562887,0,633666,4381089,0
114725,551,4388272,25,3719573,636262,1
299092,619,2687870,10,3900003,660634,1
30299,596,157512,29,1353472,66368,1
43280,776,1181031,9,1119770,1463431,1
40220,853,9578734,15,362171,41260,0
101280,780,2061390,12,178559,180858,1
116389,886,1174942,26,3077879,0,1
51120,766,6182087,29,1243160,0,0
87311,682,5974008,20,9443467,311674,1
129043,616,3984146,0,786582,191320,0
268239,631,3086104,8,80663,847155,1
290240,745,3339530,23,3208200,95223,1
36824,787,1582725,7,3081845,0,1
75667,647,896920,29,1733236,0,1
100391,609,2284957,33,823605,1027771,1
74566,660,1649167,21,575115,0,1
51170,864,334929,28,3546980,545184,1
109815,709,1344045,17,4448398,4192409,1
81228,620,6772214,12,2384049,0,0
118918,801,445474,1,473015,0,1
96186,873,1701966,14,2891074,3820873,1
44215,619,343949,35,24277855,173736,1
266158,477,333140,8,14721489,137269,1
480231,880,664600,14,5053588,109933,1
99470,769,6012915,12,16246890,0,1
82768,645,3768776,4,7236856,1694632,1
82620,561,440025,29,11109588,626559,1
251753,813,3368906,0,292239,0,1
32511,472,3552112,5,1553319,0,0
66853,687,1028137,4,3366582,109021,1
54588,868,350911,21,4699464,905763,1
99383,616,358072,25,331780,1315154,1
39684,727,4987883,0,1514838,138388,0
105500,634,7338952,6,15899967,157432,1
192346,501,8076729,0,167050,54218,0
441680,726,9437422,25,2912431,0,1
172345,626,8732306,25,814135,146661,1
62850,753,1231141,30,2050650,96640,1
114689,726,7403012,27,19110650,179084,1
78186,748,7274472,17,154008,86785,0
41982,634,918631,9,3562063,291403,1
48440,585,2498661,2,383365,335548,0
67164,783,6853833,22,1715856,794034,0
111189,349,307455,5,7836044,0,1
129747,652,1351244,35,4278033,1059235,1
48676,333,272442,7,2962694,111283,1
91055,678,7895881,29,1002087,1500214,0
258702,623,362353,34,6751342,104901,1
104852,824,1489967,4,1097280,13516,1
47233,306,278666,4,7546737,1893882,0
48105,882,2574765,11,110071,688541,1
75728,591,8101982,5,956947,0,0
149652,521,2591358,3,3412166,1303517,1
55152,591,5874698,32,7395832,0,0
49114,309,399209,35,264889,271655,1
95645,586,9065307,21,818122,0,0
51077,790,502706,9,4982588,0,1
197614,618,5189563,13,14713057,65965,1
50579,663,1513422,14,1639527,175538,1
325294,764,7460105,8,9739866,0,1
87829,601,1868009,33,587474,64793,1
65254,635,6112095,7,492275,0,0
48391,869,1851918,3,19497112,69814,1
41808,836,146247,31,11332667,20271,1
45199,565,8658982,25,71941,226236,0
136377,363,4856412,12,895820,3178930,0
45986,631,1378738,28,7673529,1466050,1
112083,446,9641027,22,1525822,1898362,0
74840,867,2216349,18,2171895,0,1
41263,810,5190923,18,1185332,0,0
32859,847,5128250,32,4961694,0,1
57718,744,8865616,22,438557,157001,0
37431,515,2041909,24,20075459,0,1
63640,344,1475559,15,7326638,132669,1
30902,816,7302589,3,5966923,1236032,0
55112,627,703624,19,4708473,0,1
77771,586,466233,29,995335,0,1
46946,305,7195622,5,699784,1939718,0
39646,571,1343264,12,130067,1019061,0
69350,671,1868045,34,534360,3047720,0
191368,805,4496858,16,18516424,27261,1
36059,776,8773962,3,24083268,0,1
75552,499,2210957,28,100059,744828,0
34229,557,9461682,5,302286,122242,0
54743,860,1925681,23,17606761,0,1
60080,610,4217710,27,3799525,102936,0
35716,716,3393579,5,5779828,2803338,0
45534,689,772086,4,497745,0,1
252366,679,5610723,32,3313979,243234,1
153183,711,5708887,15,55438,0,1
72158,491,709979,6,422449,658983,0
34340,441,4902232,24,9443780,0,0
98449,526,4186431,6,6011345,157196,1
100955,808,229191,34,17642208,0,1
193993,767,430611,1,280671,0,1
41864,570,2610567,25,3427999,0,0
146258,676,6838388,26,87600,0,1
46566,575,369759,31,3600837,1087431,1
40701,840,456651,10,1378218,0,1
167676,829,1387207,0,373655,77938,1
190698,432,8724802,21,4298681,254468,0
56293,671,9834871,15,922921,1930475,0
78159,558,3420222,8,4366695,1574637,1
71424,401,274254,24,4317221,461173,1
45183,720,463527,19,746492,0,1
354846,673,858615,20,20989801,1983378,1
70045,524,986203,24,244608,3777886,0
138406,695,340857,30,1581441,0,1
243350,720,963560,28,361792,3081317,1
65549,437,4996631,7,3510686,0,0
340752,714,457423,25,93976,57494,1
49081,682,652421,23,1706709,223631,1
188382,849,4845406,6,9648101,591815,1
58202,877,2812467,0,1752504,609786,1
88983,773,653194,4,2547209,152186,1
51358,843,1646100,28,1897102,57187,1
35166,771,5740716,6,242413,185559,0
44667,490,258972,33,19133993,1692015,1
35646,829,5909355,8,160864,0,0
52379,733,6918865,29,155829,1966904,0
99401,664,7511264,10,1648747,170878,0
42783,588,3877649,13,8667257,4008964,0
62083,593,1363587,25,539567,631551,1
55511,739,4981375,3,2476011,63372,0
191755,624,3347794,32,12024579,341592,1
444376,857,309903,32,2074737,527650,1
142228,384,2933712,10,412519,4930561,0
65709,561,7471096,6,309933,787001,0
34471,841,4335884,10,7065706,0,1
355267,711,208709,6,19704885,703320,1
67245,792,387250,11,7609745,564309,1
66524,671,1903092,11,357055,260282,1
46949,674,8894344,35,7024132,0,0
45676,553,574250,33,487893,0,1
58673,727,1971014,24,3028691,0,1
388142,822,179272,25,1943125,881271,1
255077,637,6267972,11,3042028,0,1
429863,626,2343753,12,20288145,88473,1
51111,777,9410738,6,138649,133684,0
38408,677,5259712,9,95848,0,0
49520,632,549690,14,1485269,3259982,1
40954,570,434667,7,12372425,146499,1
40205,700,3163821,30,451921,0,0
161511,641,3529195,30,3603567,642163,1
66538,533,2827893,14,371420,0,0
33515,325,4745147,20,192853,571452,0
77497,702,1402793,9,810466,0,1
74136,819,1348752,25,4752715,0,1
122415,616,3787386,15,8372393,0,1
383158,657,1122926,19,1871553,0,1
123642,411,158264,19,4842546,4858337,0
158354,846,320017,12,771941,27427,1
107712,512,321240,32,2455742,2121684,0
193118,877,404992,15,20097845,1603885,1
52140,349,4007054,35,1913543,150061,0
202847,530,1440558,34,4359302,4380477,0
134492,629,1329551,5,8075015,0,1
146536,867,6326003,17,1001048,1854009,1
115961,616,4077815,1,11164565,0,1
227249,328,7690308,30,3935031,0,1
37658,609,9623556,20,1819664,0,0
97149,820,7900013,7,2891889,1561337,0
100057,855,227186,35,662101,168293,1
290175,544,6420475,17,370161,646326,0
53377,508,1610946,9,297555,0,0
51274,899,119850,3,4425175,889609,1
113045,870,3327446,3,4797822,1123180,1
66926,755,8389587,3,15410428,0,1
225759,747,2038820,16,1154136,438923,1
114569,586,1668987,15,17544479,168903,1
37983,846,8052415,27,17234719,273247,1
146207,701,7504601,23,817353,477950,1
126354,724,321914,20,3511656,95842,1
91234,865,1235045,32,1711135,90307,1
136145,773,365189,19,725810,709314,1
146162,589,3841062,22,1541471,1064869,1
53529,623,4771114,12,10300705,449604,1
184658,592,1546158,26,4594323,2763584,1
295466,853,8455174,34,478058,511387,1
33203,321,265281,16,4471391,161599,1
84541,432,1931413,15,3034924,0,1
95039,879,1961303,3,7768102,0,1
76403,811,2737810,26,222701,239190,1
459561,762,4436196,4,17655422,4814812,1
57588,747,8087848,22,6514140,39040,0
275614,876,7472487,28,154417,4368230,1
102582,848,1175714,2,5213897,111248,1
186064,506,2554607,21,18258947,103409,1
82796,790,1852455,7,53877,2750154,1
37607,664,2478993,8,1916022,0,0
33348,704,1570075,21,267296,338683,1
107172,750,2185912,4,1676045,0,1
51284,861,3708804,6,7881498,922931,0
111702,552,3750904,8,794333,187003,1
155075,885,2063926,35,6649944,774091,1
72985,883,1533475,29,7348186,199991,1
82853,777,352306,7,7712056,258882,1
53104,560,5046452,31,1550364,60325,0
66160,900,3056725,3,135214,87286,1
117888,817,6501711,29,20397124,498592,1
126146,699,606423,2,134012,689601,1
57605,711,7284941,15,172066,680167,0
39560,459,5168659,33,1883186,851421,0
93193,705,4542595,0,477354,599605,0
213662,638,6193385,33,240128,0,1
32541,563,178293,24,4630895,491976,1
155201,645,2227076,16,1133281,0,1
41868,538,1633368,24,6685822,426607,1
174331,830,242958,9,928634,555983,1
