income,credit_score,loan_amount,job_experience,assets_value,existing_loan_amount,approval
143730,310,3391399,7,20142977,4549816,1
118675,771,4418366,7,12137614,2780123,1
251387,496,8951322,22,12916985,1968923,1
113424,491,4141775,6,336910,8326,0
280743,547,4748979,8,16186825,1322893,1
47301,840,859023,15,14263509,1167037,1
297777,441,2918275,15,17588874,2715588,1
56525,650,7989713,30,824292,2780321,0
283965,779,2294953,17,19734767,2264155,1
56269,462,8619463,31,24698411,4750026,1
118313,521,854404,30,11278840,1175104,1
153970,630,7843822,13,8041292,2506849,1
196289,757,2135982,11,24561946,4480911,1
75424,819,261619,35,20792644,2160904,1
192779,431,360019,21,22187631,2083313,1
74903,552,7800645,26,24597951,743992,1
101249,750,3754122,10,16192090,796385,1
231246,561,6866195,1,11521995,4530793,1
88228,796,1576187,8,118284,4192782,1
259855,396,8822733,18,18918698,486786,1
30931,442,7491959,10,9260783,1644497,0
247625,888,6529951,29,3231764,3319591,1
259928,697,5404406,7,11045597,1335293,1
121163,872,2334341,23,19231172,3540501,1
112954,853,3994390,29,11882021,2209983,1
171061,558,5746099,6,9559795,3275653,1
194005,573,6731214,23,4535167,4280505,1
213532,466,4465155,12,15720582,1236339,1
234677,679,9017895,8,16677773,1341479,1
230723,786,4950833,30,7347324,4902692,1
257496,314,1145726,15,3884306,1078545,1
214630,640,4170626,17,6293003,2010570,1
262933,839,5307993,18,4581251,597932,1
153425,628,7714904,0,22027101,1280152,1
152409,633,9114025,26,13184181,108244,1
238199,580,5896744,34,19767196,518128,1
147649,347,390544,10,3856289,1609491,1
160135,586,6751060,9,23209950,2553740,1
147847,667,4993023,11,21937010,2572316,1
154445,865,7279749,32,7991910,560344,1
172917,400,747520,2,3379638,1924263,1
136495,426,7669867,26,12683955,49161,1
128683,665,7881825,14,16212157,2073660,1
39171,893,8819801,2,83012,3864608,0
193408,652,5070855,1,12348193,3897048,1
163492,812,7350658,16,2672469,1828543,1
174584,499,2645006,14,15050633,3683780,1
185281,510,6740466,7,22281899,1429678,1
289753,677,4652764,7,5050251,3395843,1
57006,495,5463676,2,7729956,4337918,0
273671,809,7795451,29,13935529,4526480,1
276383,456,882325,1,23868392,617317,1
247599,519,9234216,0,20663393,1031042,1
238180,726,8676353,10,20652821,2996790,1
228491,329,7994691,22,22958715,930327,1
278301,477,730327,7,19145112,4537850,1
208536,869,1321525,4,6820766,3795806,1
233328,550,1394835,15,19627759,3101995,1
229548,726,950616,14,5222876,4627990,1
226642,607,2696391,25,23744617,2759958,1
240530,373,8247999,0,14307722,3375579,1
254868,507,4650202,12,19501578,3330535,1
132725,511,6406492,24,7131158,4876430,0
76586,855,1617733,20,16732454,4314633,1
219257,391,6215305,25,1993290,2957619,0
155878,824,9938984,25,441548,2340944,0
171487,739,3992992,3,15391173,3631243,1
221455,703,2985015,25,511435,3960154,1
280754,376,3279139,0,1347860,197536,0
38254,685,3993855,31,1981750,1589642,0
98468,812,445906,22,7723536,4848153,1
259774,644,745488,29,17048576,4847623,1
179479,589,9386203,35,183652,1716430,0
65080,808,4433248,35,10913767,2693647,1
202830,347,6777832,30,22990498,683956,1
67455,566,7764641,7,24953296,4620278,1
156704,592,2675058,34,13476989,2898293,1
156465,415,8608745,4,737222,3441470,0
99713,576,120140,24,795311,2990815,1
212869,716,5909276,29,10597166,939803,1
100219,875,3646157,31,3600592,937867,1
163786,470,155499,6,19003653,3021897,1
56044,665,2041765,34,19054856,3964602,1
244790,793,9249862,3,16173958,4667072,1
206762,794,6594686,22,16637204,2895768,1
197791,894,4423092,35,2259632,3918994,1
276313,726,5564734,17,23877538,1772670,1
157430,361,2501857,32,24867524,4963921,1
116471,321,2563368,28,12678809,2621031,1
106597,548,357516,33,9628549,4089748,0
229750,464,6539837,28,9438828,1448851,1
282328,881,3715759,19,6043929,22209,1
179086,672,130594,24,13688203,3259988,1
105502,324,6527573,8,15462832,2704127,1
260989,442,3640748,12,23217988,4339811,1
217349,818,9126102,23,21542878,2062618,1
192529,460,3951396,17,12230471,4166306,1
295434,667,7496114,18,10571886,1932624,1
230153,721,2458460,35,14866878,555274,1
121123,822,7258285,35,17151111,2898898,1
111848,363,6828027,23,13979509,4202248,1
87331,559,5250194,7,23212001,727789,1
286409,850,413434,32,21887272,2344669,1
77331,876,2477185,6,24933268,2889082,1
221359,433,3860032,19,16914448,933102,1
89055,663,1868067,30,12888715,4522888,1
120989,618,6445597,10,19230432,2749217,1
133286,598,1715407,6,1414164,4867744,0
94177,369,6722675,0,21858844,1844034,1
185884,682,5608532,5,24391084,4654241,1
160210,441,1874158,7,2134256,516667,1
127407,379,8265333,35,14958959,3996167,1
156721,357,2519437,7,10304554,2531366,1
150763,829,2188101,31,3608772,1503887,1
201930,443,6189908,23,23359251,2250625,1
182801,821,9009647,10,13101801,2465583,1
218085,465,6450828,8,5049346,4361342,0
253800,437,8887266,21,5941192,1261256,1
128067,374,5000725,22,477788,790056,0
133354,786,8339592,12,535295,3744548,0
228465,474,911878,14,5233024,3297509,0
176806,763,1032613,13,16723916,3128463,1
165249,587,6400595,2,12068258,1275545,1
211741,858,459835,27,23700353,3738738,1
270176,354,379860,1,4255567,2267558,0
198709,310,500191,10,6581465,581020,1
46261,368,9756148,11,7309375,2060726,0
203783,731,2556643,7,7249539,3521265,1
106962,579,1090690,11,23158777,134398,1
183825,565,8663451,27,2361779,2758657,0
83449,480,4719237,33,17862936,3998666,1
283746,367,7947440,31,8131538,92507,1
44717,453,1297181,11,5087615,131383,1
180471,855,6886207,21,1506996,4152637,1
164696,672,2006154,4,18450256,676633,1
74702,409,2642428,29,17274035,421261,1
93074,514,992246,35,24619497,3495294,1
298917,395,4762869,12,12526578,342378,1
179545,466,8687760,9,6348765,4985876,0
88304,763,3331317,1,21245159,2585253,1
272589,326,8964520,9,6237356,3766694,0
208881,439,6722737,33,16738827,3828930,1
291088,455,8712900,11,16046621,4689909,1
277705,841,3227394,28,13707682,1364482,1
226707,562,4037848,2,22106746,3362157,1
59371,403,4589162,33,4131399,3274138,0
71190,313,2137304,28,13582155,3544181,1
134636,560,1550709,11,10705167,1333534,1
122417,543,9450922,20,13233806,1825442,1
107153,733,8819586,28,3526018,2782663,0
128072,685,2186449,26,10892899,2184154,1
230276,570,7489664,7,22323171,1095505,1
141181,893,4964041,15,18985985,2069521,1
270927,624,5511814,34,22649446,3446688,1
141040,618,7159165,20,12480779,2992449,1
33083,680,7162643,31,8084287,1147834,0
170570,474,1069318,0,7500579,2241132,0
168590,678,6565353,34,14459759,1489276,1
86146,645,3787639,31,21171891,2389766,1
206930,787,8208355,9,20695945,1844008,1
297267,662,3255438,25,6926420,10808,1
164520,338,938910,20,12978002,1064011,1
256130,698,8375588,11,21857807,3586733,1
94381,577,3938841,13,13584312,3836281,1
245227,762,1758551,9,7021987,3669434,1
170632,883,1859176,8,17554667,1501693,1
263738,307,2640991,20,12560030,2937807,1
43331,649,8824306,35,18089888,193109,1
259372,350,5642908,25,13255769,4705248,1
110615,896,491122,33,9651734,2536932,1
199190,437,7017426,5,23072640,1764398,1
101619,561,8486936,15,7798485,4730727,0
188848,481,6239544,10,568925,1231372,0
207069,748,1549919,31,22103007,887521,1
144107,587,9662675,12,15338748,3120833,1
206451,404,1349142,23,14590663,3348765,1
70045,551,7466479,35,1855096,3482084,0
39938,442,2391198,15,21909292,1556512,1
111077,724,5557330,27,24330796,3269435,1
55813,439,2671930,31,4210719,2111777,0
145869,861,4099973,15,9222156,989830,1
292951,679,1548328,17,13975625,2798060,1
118158,570,2101241,8,9118663,3019286,1
216884,716,3175673,11,2338343,1696210,1
282452,404,4356884,35,16293834,1569324,1
102994,462,9914439,29,5740987,2031033,0
266344,577,4220249,12,5255886,3465607,1
68741,581,5751272,22,20122552,4502101,1
108699,390,795944,13,24895366,4886367,1
55173,607,999469,9,12187629,3559210,1
227421,641,8542875,26,21343884,2420007,1
163074,737,8756475,3,14961180,4042596,1
64076,447,2861401,16,9073023,2973030,0
69701,466,3491177,33,4293906,4496594,0
74358,578,9341114,1,24180879,493027,1
116075,435,8012809,5,15970092,2455472,1
257688,748,5953163,5,4600710,2200453,1
213403,732,4121312,4,11843450,1044781,1
182814,792,727412,24,21665145,3652808,1
260021,741,9581018,28,2195053,1010738,1
119989,363,6729797,28,11689505,1860828,1
143384,641,9808969,1,9318481,4410474,0
289314,500,1276558,11,8281064,2455930,1
147070,681,382903,17,20157846,551840,1
217760,555,5989804,3,2574024,4157439,0
237384,399,5023374,0,17145367,3440228,1
187595,421,6719073,8,17738944,1840780,1
241558,328,8003351,32,17254675,904912,1
237675,670,8402159,13,10031837,240204,1
70226,552,5355937,2,22965977,3470976,1
233665,321,2220271,13,24072040,4949414,1
82839,450,3689435,8,7591945,4457028,0
106589,825,2713039,15,19653662,3039686,1
206319,736,5267775,31,17038425,3374814,1
201699,672,7143614,14,18333802,1083288,1
111970,623,5840955,2,16380115,4925831,1
233336,853,9127220,29,7491938,2894,1
76744,490,8443298,22,15893785,4369918,1
118605,489,4529472,33,8004512,4353209,0
104262,497,8273382,28,18271032,2715348,1
36805,316,7866200,19,2185579,4714507,0
237161,843,502629,16,6918428,3817727,1
200341,492,2919691,7,7968696,4633789,0
87851,738,3297794,7,22453568,4790846,1
225223,521,1415156,18,553648,3482706,0
256821,836,878680,20,1325605,2026341,1
298680,750,6374954,3,10525189,3637776,1
152994,556,7125197,30,6146259,4555466,0
73281,583,1142586,24,24764957,2274587,1
261818,486,4037343,15,7772861,4821660,0
198910,638,2086811,17,4677686,1054251,1
247109,663,2078415,17,20203594,1941670,1
161074,782,8916613,33,23966685,2940969,1
287279,828,3595726,13,21917682,4786253,1
73159,855,5231854,9,1618393,3568838,0
296975,602,5227296,16,6966694,4243494,1
220473,334,6093826,30,20234564,2718681,1
194405,776,6282609,10,12777153,1318450,1
84836,886,7043671,32,21638073,2782211,1
204959,604,428685,27,8967793,4698120,1
251688,620,7160965,10,662001,1148005,1
107025,884,8284564,24,22184140,1581601,1
166131,778,332937,5,19138671,3212810,1
191187,583,8060513,26,10376259,4437295,1
167947,444,6126439,14,22691489,656621,1
76100,701,5033888,12,10698469,1937790,1
263806,876,5928167,33,3256307,256095,1
53899,730,1129280,32,6023067,1523694,1
31321,814,699356,34,24763142,3813295,1
138364,336,3918979,34,10913236,4404512,1
212199,680,6202780,16,12800541,4833001,1
246682,594,5805421,21,13562515,1643023,1
89351,887,9017685,27,22427828,3472410,1
268328,689,4846407,2,11973486,2098531,1
187981,480,7855992,11,19147916,72306,1
224850,491,9408779,2,4809633,1215175,1
127599,518,5621337,7,16170059,3365754,1
156111,305,2514757,19,6733241,4386057,0
145816,867,7848839,34,20619837,2828166,1
153242,361,2764146,23,12267208,2580221,1
54487,354,4895153,27,935225,3813302,0
158075,399,3816072,1,21455101,1783208,1
280407,495,8110806,29,23718073,2208025,1
188817,453,1702135,15,2753507,688129,1
94953,846,1821095,23,2863933,2109620,1
276373,837,1211905,34,14047438,3376248,1
257387,384,8407491,24,13773355,1843482,1
194112,553,3130707,30,9123677,283945,1
55721,457,1330095,29,14557341,3859854,1
120276,641,5292777,19,18624072,2293790,1
211771,790,6861686,13,3353221,1842456,1
139809,842,8821132,9,22470478,2044085,1
291689,341,4633764,7,8711452,2898970,1
257975,584,9649275,27,21207896,1327266,1
166659,740,9453615,15,23637723,4993830,1
102637,883,3746012,2,3223001,1054297,1
65861,548,1043088,15,8472681,283874,1
135588,474,6518734,35,19080507,2835522,1
242223,866,7452862,2,9753283,4885649,1
162086,850,2636843,10,9696577,2894861,1
212095,603,4949484,18,15964564,949573,1
124823,860,7684555,29,3232808,721086,0
143682,471,1597634,22,2965703,2755919,0
284164,508,2985312,31,19979993,1546380,1
208806,589,7712246,14,13970514,1545237,1
124862,373,2839286,31,21934326,489646,1
195296,568,3834321,9,14208080,3209385,1
131452,357,8335409,12,13830378,1110257,1
156303,386,7716050,6,8529100,900039,1
69442,601,7725053,22,2358785,3255995,0
264415,591,2859469,2,16539788,2538170,1
290606,730,9668971,30,6153809,3416061,1
206151,308,3299311,10,5375912,2127979,1
35232,722,205946,20,23330832,1240058,1
167245,316,8305478,29,21282115,4406313,1
135192,860,8910704,18,2448796,1621176,0
79324,470,713388,32,13411808,280818,1
270459,395,7214698,32,21119529,2251020,1
148447,313,1055855,12,8337538,2604610,0
201202,583,1441131,30,18703102,4692105,1
83418,394,8976293,27,24974166,4083643,1
118795,522,5893208,8,6639888,2622564,0
172121,429,8984627,11,7620327,2186895,0
265550,506,6116179,15,19111340,4893104,1
142090,612,5523123,16,6926567,487020,1
155968,300,7284776,20,15148786,2056432,1
257779,736,3903351,29,18653467,1055097,1
57582,700,6473130,31,5541601,4405361,0
130522,401,1110041,20,482217,3104239,0
148561,618,4918473,34,14339453,2788016,1
128136,863,4381419,33,3691319,544625,1
111626,397,2866029,25,13546938,3904766,1
88802,546,9107787,34,11920187,2538255,1
184868,708,125668,15,13409281,1007379,1
36755,661,4992389,7,11810182,3249860,1
183159,540,1843616,22,5768760,1165177,1
184973,450,8508779,19,689370,2645102,0
125672,525,1906774,12,17825009,3003432,1
219360,627,4479786,13,13200672,2950520,1
206327,584,2390200,18,24207273,4705887,1
33060,686,362803,0,4188011,2943908,0
166764,353,6998839,19,19849227,2640509,1
96465,410,7900977,26,12414052,3862199,1
233134,872,6546649,3,17364964,3976208,1
105187,690,6972334,26,8329656,675588,0
277010,641,1654658,11,6024967,3993900,1
124315,629,8561569,13,5823202,2872130,0
116889,833,6945540,33,7154583,1499728,1
134356,550,6040820,26,1397305,2595570,0
154776,779,4005743,22,5585884,606321,1
64357,587,166282,16,4244188,2704010,1
112668,394,7414889,27,9949186,3072204,0
216368,687,8154541,10,20217417,1608370,1
230757,323,6829255,33,4046428,916884,1
82761,312,9698669,25,6751340,519896,0
58226,810,7932860,5,361979,2114308,0
119060,457,2351123,16,18416869,5966,1
231936,746,389693,8,22305468,1628926,1
256410,799,2591147,12,18387533,8755,1
257517,410,872792,24,12697709,2556045,1
202076,797,9264262,29,4066092,2134519,1
135320,483,8364723,20,3663753,4987039,0
42629,556,8568809,29,19831594,2670347,1
277350,798,8336580,6,15051832,4919654,1
54206,679,5680808,28,13537514,4015674,1
173385,590,2988487,24,18853688,4886606,1
206931,899,4119123,28,18932923,1795116,1
230248,676,1224153,18,8836939,1991537,1
252266,729,6464363,32,4855781,4482536,1
260615,480,4484290,30,1028994,235984,0
140300,783,6541162,6,12527964,4493026,1
276983,476,5323925,30,5063395,37422,1
165160,782,2980052,19,4401409,1295641,1
289963,884,674057,18,19240613,1706966,1
197921,740,7894324,17,245183,2552323,1
294443,594,5658104,27,18968277,954565,1
107515,754,2387973,18,57389,386803,1
87640,608,8942003,34,6868586,1259654,0
105907,371,2993045,24,14811613,3742644,1
292053,713,8511471,6,15771665,798277,1
224105,303,5865267,29,17924537,4608436,1
281983,484,5938846,16,1430176,3564263,0
147309,516,594028,29,12965963,3353071,1
83399,566,3961529,25,19709764,1775520,1
289622,616,335647,3,18795020,4903150,1
99736,514,8651419,31,12690446,758461,1
265196,706,8621127,4,8410847,4499007,1
40918,535,390741,27,17909324,1876797,1
228001,445,8466778,35,17089773,193635,1
272948,874,4334631,31,15282939,1164084,1
80831,637,8016540,11,6470636,4999750,0
289995,422,8986774,12,24998251,1619740,1
49229,338,8463159,4,9916885,2867310,0
82283,305,8160370,22,8346630,4240105,0
162419,742,1605794,15,16806512,3927476,1
200190,402,4231711,30,6425416,4966372,0
106264,762,5230907,9,17740455,1333469,1
209821,730,9148816,3,9481169,4119282,1
211242,739,1541255,4,10535875,2513883,1
257615,720,1229798,10,20590773,3591928,1
33331,769,960231,35,6921683,102192,1
87790,866,1598940,13,3781507,2831391,1
221726,454,9263886,16,557344,3609816,0
99906,375,4689096,9,2200158,894070,0
128382,304,5775564,20,10718876,3144329,1
280786,424,6511996,7,10592711,2899813,1
106087,316,4057184,25,21598150,352313,1
264670,460,4235758,18,3070998,1411949,1
212515,447,8609223,31,5766436,2820736,0
151008,451,1324944,14,24384912,4940788,1
129169,334,1357701,14,23024898,1676669,1
57770,680,3328100,29,23488220,502869,1
75289,678,1527978,4,21062132,676277,1
111276,840,9425974,16,1496318,1797379,0
69903,729,8409487,16,11088136,1071788,1
154604,869,1282209,10,20539935,4210799,1
46512,656,1434084,3,8290705,3818518,1
219774,484,2109016,31,22225002,2402316,1
42109,627,1825235,32,10586310,2763594,1
101412,705,6021448,6,4405981,4937019,0
74998,360,971989,20,12344491,3294946,1
211828,650,2660074,8,17534989,1540453,1
174754,819,7763575,32,20510627,2333542,1
276287,745,8034539,34,21393319,4525735,1
62382,838,4426398,12,16502363,1891346,1
87652,436,7137121,20,18125710,4040813,1
158435,824,7332287,27,14786958,2962787,1
102769,345,3200647,27,17899978,3290927,1
277777,745,1500877,24,3909516,3938968,1
39927,750,8469595,22,15942591,4777554,1
186771,789,3206499,14,20853899,1948897,1
82041,862,3504579,17,4691767,3960709,1
113374,320,1746835,25,24495555,4110289,1
112493,357,1918390,32,19724989,838399,1
209990,687,7035985,0,21293161,1433930,1
43802,621,9956489,26,7559426,2341475,0
123283,480,5789871,10,20465729,272315,1
297872,350,7207618,21,8621578,2661387,1
210482,629,1497026,9,9746503,3431762,1
117226,763,4301026,14,7926323,4100174,1
127210,769,487860,1,21967552,1192054,1
142375,819,2980623,15,6270330,4212435,1
136889,895,2805084,3,17578096,1595501,1
199435,752,4754476,27,14586104,3825961,1
289284,322,5517904,6,10365570,4174799,1
175794,678,6134499,2,9111691,3960699,1
169852,822,4744462,4,7167402,386349,1
54461,815,1254619,21,24023756,1910516,1
164837,651,2659276,2,7404328,330469,1
142571,304,533545,1,7314161,3134393,0
236646,682,4611811,6,9736233,2393476,1
71725,634,4231616,25,1774130,155707,1
116733,344,2934525,28,3228570,994615,1
100856,881,4667310,19,16353033,4806029,1
280170,446,5791405,22,8838476,799184,1
37245,328,3713150,34,21584047,4839681,1
230898,834,5097403,21,11483390,1244131,1
203627,739,2621283,21,12920534,4992896,1
55296,676,7855370,21,17352185,619136,1
199039,623,4936284,22,1907804,246087,1
157932,570,6582600,15,21019110,1725434,1
246896,752,7753490,30,716529,2571550,1
136515,868,5362695,30,13050053,2174910,1
269066,801,6827494,17,22487163,2287709,1
218965,388,9212863,7,3717050,3602457,0
123891,602,4465706,15,8398224,4845307,1
177874,353,1281658,30,19804024,785499,1
118333,744,5894316,35,11345463,2629976,1
35713,668,4653434,9,17342615,2699040,1
273675,420,7671031,4,7692016,170041,1
276145,639,9617447,34,16836256,348993,1
215320,788,1193954,12,6383589,2097376,1
62417,868,3359141,0,24012416,569347,1
46496,517,8607004,8,23327430,2108784,1
212188,377,5659976,32,16534617,1585663,1
96370,685,1895917,8,8719669,1032846,1
78063,714,6717465,12,13585009,276711,1
190921,886,6254604,15,8206748,3200993,1
270811,758,1845627,26,15121412,653335,1
88565,847,5816054,30,9942914,934842,1
102020,858,2427230,16,104019,4784742,1
150463,563,2732197,32,19788651,3842018,1
62946,723,9663156,9,11616949,4919046,1
233210,601,9084051,21,6392542,2440734,1
269173,748,2039103,8,18363228,4234345,1
249905,630,1766075,16,15048384,1850724,1
89194,559,5291328,21,11729168,2640382,1
32365,759,964886,33,16066379,4667595,1
117003,687,4445750,24,16211536,764864,1
128933,420,1737752,8,9925578,992230,1
233579,535,5308218,15,6073301,1765371,1
243919,809,6039683,18,17125229,1168835,1
94908,506,6189671,33,20303141,1043302,1
289178,520,682589,32,20929200,1087886,1
150957,430,407130,22,21724512,4562132,1
46013,338,2682822,29,10886694,4642797,1
231941,725,4700779,34,22419565,3198952,1
151859,542,5153417,17,942191,1878894,0
236808,531,7282595,24,18126627,3247179,1
186410,470,1646691,32,9845029,2783144,0
299585,401,4090257,4,13092129,1075461,1
134757,659,760907,5,10092835,1656645,1
77737,460,2915408,13,23697645,1826170,1
156223,499,7641890,21,17926347,2094175,1
53686,692,5251694,24,1685072,4146912,0
235938,795,7758285,33,7194568,1473279,1
211848,847,4106251,8,8843489,2925411,1
242844,853,5098058,7,15599883,2748565,1
188404,692,4186802,3,22487809,1367869,1
272591,549,3549131,8,16496057,2491255,1
65022,322,5501365,5,23370782,1907227,1
146839,645,648095,29,15002362,3646291,1
146509,747,4902829,2,233925,4146412,0
271095,485,1594919,22,5062149,174660,1
227804,772,9973818,2,5318149,1904358,1
149907,634,8175983,9,18567805,2692711,1
131277,412,5387465,15,13402765,3964733,1
54725,697,5987741,23,336191,17621,0
209825,805,1257875,34,19501799,556332,1
200693,685,159469,3,2696553,4734018,1
190308,823,9284300,6,5118981,616070,1
197362,740,8577447,0,17373035,3877144,1
33067,792,1496125,26,20100540,263978,1
71789,609,4967580,35,21147904,3846339,1
31144,660,1117472,11,13499826,1503040,1
108113,729,7795262,29,8257379,2603518,0
65886,301,2591998,11,22132569,4894262,1
299754,370,255350,9,18577233,3715217,1
285302,382,8103108,24,13029864,3942772,1
80831,545,4426502,7,8240610,343915,1
34419,749,8277707,22,7863412,1551126,0
191232,584,9140401,30,17422114,2618947,1
245232,372,5728020,29,17013269,463132,1
150166,487,9644089,0,138288,4370247,0
54339,343,5721974,24,20357481,2923509,1
70728,542,4860991,30,2214555,4829769,0
120117,639,669922,10,11944065,252084,1
266705,704,1943270,31,12882367,3175039,1
289928,771,9616599,23,24849513,3791493,1
